filename,path,idx,silhouette_hash,group_id
image_0_017767286f7f40fdac605acf20e0abd0.png,D:\ML\LS\Deep_learning\GAN\hero_portrait_generator\train_images\image_0_017767286f7f40fdac605acf20e0abd0.png,0,eec6bb950739fea09983e1f52b0cd4e3,0
image_0_0c675f243c4144d98e5d21061d661911.png,D:\ML\LS\Deep_learning\GAN\hero_portrait_generator\train_images\image_0_0c675f243c4144d98e5d21061d661911.png,0,e87042f6b71065c219f8456ec2d18732,1
image_0_1c6697f5b9684e28b67d9e1f36c20e2a.png,D:\ML\LS\Deep_learning\GAN\hero_portrait_generator\train_images\image_0_1c6697f5b9684e28b67d9e1f36c20e2a.png,0,c1012a17d3ed53d968679e18a1729120,2
image_0_1ed2ac7ca5e44321ae1dbad2a4c523fc.png,D:\ML\LS\Deep_learning\GAN\hero_portrait_generator\train_images\image_0_1ed2ac7ca5e44321ae1dbad2a4c523fc.png,0,3d1c8e4373c5622762aa9b59c741a30f,3
image_0_2630d288f1c540e19246aff50a66625e.png,D:\ML\LS\Deep_learning\GAN\hero_portrait_generator\train_images\image_0_2630d288f1c540e19246aff50a66625e.png,0,c6a807ea2c297b40193171d74ce4b45b,4
image_0_2e0af0718a1a4c0a9e3b94699c4c6a3b.png,D:\ML\LS\Deep_learning\GAN\hero_portrait_generator\train_images\image_0_2e0af0718a1a4c0a9e3b94699c4c6a3b.png,0,1cdc87b5892c99dec5e5c93e6fafb777,5
image_0_325d3e46e3bd4a1c9219cf85851be077.png,D:\ML\LS\Deep_learning\GAN\hero_portrait_generator\train_images\image_0_325d3e46e3bd4a1c9219cf85851be077.png,0,dc2de34479947013cd81d51b1aceb70f,6
image_0_380c2ffe66a94f13807a864f996b86b1.png,D:\ML\LS\Deep_learning\GAN\hero_portrait_generator\train_images\image_0_380c2ffe66a94f13807a864f996b86b1.png,0,4e2b52d84b31543dec023750351c882f,7
image_0_46be5da480d442c391ef5f402263c055.png,D:\ML\LS\Deep_learning\GAN\hero_portrait_generator\train_images\image_0_46be5da480d442c391ef5f402263c055.png,0,66abdd87525a58280cd8ec433c1f65a7,8
image_0_4a518024622541f4b04a98a6feea144f.png,D:\ML\LS\Deep_learning\GAN\hero_portrait_generator\train_images\image_0_4a518024622541f4b04a98a6feea144f.png,0,c79b49cc4bc355587c48fb2aa98f7a58,9
